image_id,part,local_page_idx,input_pdf_page,source_page_id,json_block_index,json_bbox,mineru_url,local_image,local_relative_from_chapters,source_docx_entry,docx_relationship_id,document_order,bytes,sha256,mapping_status
FB-I001,part_001_200,0,1,FB-P001,0,0:0:595:628,https://cdn-mineru.openxlab.org.cn/result/2026-08-20/d73fea49-650b-4b35-8033-c98ab685f1e8/844807dcfccad0335bd53c8769dc11ee0021fd4afb33c6d50190966fa2d08720.jpg,source/raw/full_book/part_001_200/images/image_001.jpg,../raw/full_book/part_001_200/images/image_001.jpg,word/media/rId9.jpg,rId9,1,219500,2954beed832b93c0a5999fd44b00a4fe3422cef46f09f0cb72f05e3dc4d2ff47,verified one-to-one
FB-I002,part_001_200,1,2,FB-P002,1,23:681:182:811,https://cdn-mineru.openxlab.org.cn/result/2026-08-20/d73fea49-650b-4b35-8033-c98ab685f1e8/a3032c3d739e7af7b323fac5a244a283c84a5b3959378a29e4d4d97cc4a9cc8b.jpg,source/raw/full_book/part_001_200/images/image_002.jpg,../raw/full_book/part_001_200/images/image_002.jpg,word/media/rId13.jpg,rId13,2,27852,2c0f45a824201e188b869fc1a97d77bfc08aad7a335190359e45e1df410fd033,verified one-to-one
FB-I003,part_001_200,11,12,FB-P012,1,135:207:194:280,https://cdn-mineru.openxlab.org.cn/result/2026-08-20/d73fea49-650b-4b35-8033-c98ab685f1e8/091eee6b1a9a3cbd6b02a6594ba033045684b35c31142ba9d6205b0ab9b405a0.jpg,source/raw/full_book/part_001_200/images/image_003.jpg,../raw/full_book/part_001_200/images/image_003.jpg,word/media/rId25.jpg,rId25,3,8069,3b74999b546d5803360c2c1109317c0e66b1f8814817acfa05047ce37e0e9615,verified one-to-one
FB-I004,part_001_200,13,14,FB-P014,1,169:336:207:393,https://cdn-mineru.openxlab.org.cn/result/2026-08-20/d73fea49-650b-4b35-8033-c98ab685f1e8/d555a1056ca7e3bf3a626e89205dc19e9c8e850aa7c0e517ac244af602f7d7ae.jpg,source/raw/full_book/part_001_200/images/image_004.jpg,../raw/full_book/part_001_200/images/image_004.jpg,word/media/rId31.jpg,rId31,4,5742,99a03bf9a2137bd15589dfedd0ab85d616e6c01e3b0a6c35a684191662719142,verified one-to-one
FB-I005,part_001_200,13,14,FB-P014,3,408:332:448:395,https://cdn-mineru.openxlab.org.cn/result/2026-08-20/d73fea49-650b-4b35-8033-c98ab685f1e8/b3628c98a02481e1da638760c9356dace7b2a1d6d92dde1101f4b6ac64b491e3.jpg,source/raw/full_book/part_001_200/images/image_005.jpg,../raw/full_book/part_001_200/images/image_005.jpg,word/media/rId34.jpg,rId34,5,5883,08f18fc7637cfec31eb1a3fe69878dda4a1e9c0326711b04a9797e487889f430,verified one-to-one
FB-I006,part_001_200,17,18,FB-P018,2,161:322:199:381,https://cdn-mineru.openxlab.org.cn/result/2026-08-20/d73fea49-650b-4b35-8033-c98ab685f1e8/808ba9959185073b206087187ff7a24ac8ba515682544c1b00443fcd7c014ff2.jpg,source/raw/full_book/part_001_200/images/image_006.jpg,../raw/full_book/part_001_200/images/image_006.jpg,word/media/rId41.jpg,rId41,6,6054,dd50fd77a958fc04e7870001af7c0759c9deac4339a18a2c09fd68d46692edb5,verified one-to-one
FB-I007,part_001_200,17,18,FB-P018,4,400:321:442:383,https://cdn-mineru.openxlab.org.cn/result/2026-08-20/d73fea49-650b-4b35-8033-c98ab685f1e8/56858985aaf981311ecd8d9ed261d0a08f4c9d804399318221b57132c930761e.jpg,source/raw/full_book/part_001_200/images/image_007.jpg,../raw/full_book/part_001_200/images/image_007.jpg,word/media/rId44.jpg,rId44,7,6221,c49e774591d7983e804a3a321ec2f734749f384394ff578c2399de8bd8d23795,verified one-to-one
FB-I008,part_001_200,25,26,FB-P026,2,160:334:198:392,https://cdn-mineru.openxlab.org.cn/result/2026-08-20/d73fea49-650b-4b35-8033-c98ab685f1e8/558dcc27b79e5d8d14725913f5acfc9d89cf44120f7196b72e343079b0ec3520.jpg,source/raw/full_book/part_001_200/images/image_008.jpg,../raw/full_book/part_001_200/images/image_008.jpg,word/media/rId52.jpg,rId52,8,5981,acf8b8ce4c8fee06e7fba166ffe61f244be05ef196d014fea1ba05791efdc341,verified one-to-one
FB-I009,part_001_200,25,26,FB-P026,4,399:329:441:392,https://cdn-mineru.openxlab.org.cn/result/2026-08-20/d73fea49-650b-4b35-8033-c98ab685f1e8/aba858ebe466c44317abe0c208ade479cfb1b63ffdceb43b817d02bcb44c99e9.jpg,source/raw/full_book/part_001_200/images/image_009.jpg,../raw/full_book/part_001_200/images/image_009.jpg,word/media/rId55.jpg,rId55,9,6286,30c3a201a61a28538530629fa54fca1efde921d9e16c65f5faff5c4f0c50fef6,verified one-to-one
FB-I010,part_001_200,33,34,FB-P034,1,161:334:198:392,https://cdn-mineru.openxlab.org.cn/result/2026-08-20/d73fea49-650b-4b35-8033-c98ab685f1e8/2f3d7bb83ee5edc77762667119f0f6f350e69522fac6a90341171397b786dbde.jpg,source/raw/full_book/part_001_200/images/image_010.jpg,../raw/full_book/part_001_200/images/image_010.jpg,word/media/rId63.jpg,rId63,10,5926,34d6bf72029cd688c571a4b898b9d21c88f6a9c0f5a9728be740ea11f4ae55de,verified one-to-one
