source_page_id,input_pdf_page,raw_numeric_tokens,cleaned_numeric_tokens,missing_from_cleaned,added_in_cleaned,status,note
FB-P001,1,,,,,exact,
FB-P002,2,7|5012|2723|3|1137|20.00,7|5012|2723|3|1137|20.00,,,exact,
FB-P003,3,1|2|00|00|6|4.1.3.2,1|2|00|00|6|4.1.3.2,,,exact,
FB-P004,4,2004|2004|2006|2006|2006|2006.5|7|7|5012|2723|3|833.126.538|2005|150160|01|5369|51|100010|1934|010|010|010|65265950|65265928|65265922|880|1230|1|32|182|5|5|20.00,2004|2004|2006|2006|2006|2006.5|7|7|5012|2723|3|833.126.538|2005|150160|01|5369|51|100010|1934|010|010|010|65265950|65265928|65265922|880|1230|1|32|182|5|5|20.00,,,exact,
FB-P005,5,2000|2001|20,2000|2001|20,,,exact,
FB-P006,6,20,20,,,exact,
FB-P007,7,,,,,exact,
FB-P008,8,40|20|20|60|70|80|90,40|20|20|60|70|80|90,,,exact,
FB-P009,9,1976|89|550,1976|89|550,,,exact,
FB-P010,10,300|6|40|8|50,300|6|40|8|50,,,exact,
FB-P011,11,1998|3|22|461|404|299|25|610|50|50|50,1998|3|22|461|404|299|25|610|50|50|50,,,exact,
FB-P012,12,1|1|2|5|5|3|13|13|4|21|29|6|37|7|41|8|53|9|61|10|71|11|79|12|85|97|14|107|15|123|16|133|17|149|18|153|19|165|20|171,1|1|2|5|5|3|13|13|4|21|29|6|37|7|41|8|53|9|61|10|71|11|79|12|85|97|14|107|15|123|16|133|17|149|18|153|19|165|20|171,,,exact,
FB-P013,13,21|175|22|179|23|185|24|191|25|197|26|209|27|215|28|225|227,21|175|22|179|23|185|24|191|25|197|26|209|27|215|28|225|227,,,exact,
FB-P014,14,1,1,,,exact,
FB-P015,15,1910|1987|2000|1500|1915|2001,1910|1987|2000|1500|1915|2001,,,exact,
FB-P016,16,1300|1894,1300|1894,,,exact,
FB-P017,17,,,,,exact,
FB-P018,18,2|20|30,2|20|30,,,exact,
FB-P019,19,1929|1929|10|10|1930|24|1300|1200|600|1923|70|37|40,1929|1929|10|10|1930|24|1300|1200|600|1923|70|37|40,,,exact,
FB-P020,20,1930|15,1930|15,,,exact,
FB-P021,21,4|5|3|3|3|2|1|1,4|5|3|3|3|2|1|1,,,exact,
FB-P022,22,1933|19|20|30|300|500|500,1933|19|20|30|300|500|500,,,exact,
FB-P023,23,500|20|30,500|20|30,,,exact,
