source_page_id,part,local_page_idx,input_pdf_page,printed_page,section_file,chapter_or_section,block_sequence,block_types,block_bboxes,image_ids,footnote_ids,discarded_header_text,discarded_footer_or_page_number,mapping_status,note
FB-P001,part_001_200,0,1,Unknown,00_front_matter.md,front matter,0:image|1:text|2:title|3:text,image|text|title|text,0:0:0:595:628|1:180:648:412:673|2:139:684:455:773|3:241:806:354:827,FB-I001,,,,mapped,
FB-P002,part_001_200,1,2,Unknown,00_front_matter.md,front matter,0:title|1:image|2:text|3:text,title|image|text|text,0:161:77:395:257|1:23:681:182:811|2:334:783:535:800|3:389:804:481:820,FB-I002,,,,mapped,
FB-P003,part_001_200,2,3,Unknown,00_front_matter.md,front matter,0:title|1:text|2:title|3:text|4:text,title|text|title|text|text,0:140:332:498:481|1:201:516:421:538|2:174:552:446:628|3:132:709:498:728|4:85:774:345:793,,,,,mapped,
FB-P004,part_001_200,3,4,Unknown,00_front_matter.md,front matter,0:text|1:text|2:text|3:title|4:text|5:text|6:text|7:text|8:title|9:text|10:text|11:text|12:text|13:text|14:text|15:text|16:text|17:text|18:text|19:text|20:text|21:text|22:text|23:text|24:text,text|text|text|title|text|text|text|text|title|text|text|text|text|text|text|text|text|text|text|text|text|text|text|text|text,0:210:86:408:103|1:105:106:512:161|2:154:164:465:180|3:103:191:273:210|4:103:221:517:262|5:119:265:281:282|6:104:293:518:334|7:120:344:451:364|8:105:387:271:406|9:105:431:225:450|10:105:452:225:472|11:106:474:225:493|12:107:495:226:514|13:107:517:286:536|14:106:538:429:558|15:107:560:303:580|16:107:582:295:600|17:107:602:492:622|18:108:624:243:644|19:108:645:288:665|20:108:667:431:686|21:109:690:240:708|22:109:709:476:730|23:109:733:240:752|24:382:774:523:793,,,,,mapped,
FB-P005,part_001_200,4,5,1,00_front_matter.md,front matter,1:title|2:text|3:text|4:text|5:text|6:text|7:text|8:text|9:text,title|text|text|text|text|text|text|text|text,1:193:218:286:246|2:167:266:272:287|3:475:328:508:344|4:124:375:384:393|5:96:399:510:536|6:126:540:449:558|7:98:564:512:678|8:98:682:513:724|9:100:730:514:796,,,译者序,1,mapped,
FB-P006,part_001_200,5,6,2,00_front_matter.md,front matter,0:title|1:text|2:text|3:text|4:text,title|text|text|text|text,0:5:59:224:81|1:102:93:517:253|2:103:259:518:419|3:104:424:518:537|4:105:542:520:728,,,,2,mapped,
FB-P007,part_001_200,6,7,3,00_front_matter.md,front matter,1:title|2:text|3:text|4:text|5:text|6:text|7:text|8:text,title|text|text|text|text|text|text|text,1:189:210:250:237|2:160:260:236:279|3:89:321:503:457|4:91:463:503:527|5:122:533:377:551|6:92:557:506:669|7:93:674:506:717|8:94:722:508:788,,,前言,3,mapped,
FB-P008,part_001_200,7,8,4,00_front_matter.md,front matter,0:title|1:text|2:text|3:text|4:text|5:text|6:text|7:text|8:text|9:text|10:text,title|text|text|text|text|text|text|text|text|text|text,0:5:51:224:73|1:103:84:516:126|2:103:133:516:173|3:104:203:517:292|4:104:298:518:387|5:105:393:518:435|6:105:440:518:529|7:105:535:518:577|8:105:583:519:648|9:106:654:521:768|10:138:772:520:791,,,,4,mapped,
FB-P009,part_001_200,8,9,5,00_front_matter.md,front matter,1:text|2:text|3:text|4:text|5:text|6:text|7:text|8:text|9:text|10:text|11:text|12:text|13:text|14:text,text|text|text|text|text|text|text|text|text|text|text|text|text|text,1:91:89:147:107|2:89:112:502:155|3:90:159:503:202|4:120:207:467:225|5:121:231:285:248|6:121:254:492:273|7:93:279:505:321|8:92:325:506:416|9:92:420:506:487|10:94:490:506:534|11:123:538:501:557|12:94:562:508:629|13:95:634:508:700|14:124:705:441:724,,FB-F001,前言,5,mapped,
FB-P010,part_001_200,9,10,6,00_front_matter.md,front matter,0:title|1:text|2:text|3:text|4:text|5:text|6:text|7:text|8:text|9:text|10:text|11:text|12:text,title|text|text|text|text|text|text|text|text|text|text|text|text,0:2:59:221:80|1:100:91:514:133|2:101:139:514:203|3:101:209:515:252|4:101:257:514:298|5:131:304:480:322|6:132:328:463:346|7:101:351:516:417|8:102:422:517:512|9:103:517:517:584|10:104:588:517:631|11:105:660:518:725|12:105:730:520:797,,,,6,mapped,
FB-P011,part_001_200,10,11,7,00_front_matter.md,front matter,1:text|2:text|3:text|4:text|5:text|6:text|7:text|8:text|9:title|10:text|11:text|12:text,text|text|text|text|text|text|text|text|title|text|text|text,1:93:76:505:119|2:94:124:507:190|3:94:195:508:261|4:96:266:509:332|5:96:336:511:451|6:99:455:512:497|7:100:501:512:546|8:101:549:513:592|9:131:597:319:616|10:104:620:515:663|11:102:668:517:736|12:105:739:517:781,,,前言,7,mapped,
FB-P012,part_001_200,11,12,9,00_front_matter.md,front matter,1:image|2:title|3:text|4:text,image|title|text|text,1:135:207:194:280|2:196:206:260:235|3:193:255:290:277|4:131:315:518:786,FB-I003,,目录,9,mapped,
FB-P013,part_001_200,12,13,10,00_front_matter.md,front matter,0:text,text,0:122:73:508:284,,,,10,mapped,
FB-P014,part_001_200,13,14,Unknown,01_chapter_01.md,Chapter 1: 大地主的儿子和贫农的儿子,0:title|1:image|2:text|3:image|4:text|5:text,title|image|text|image|text|text,0:146:108:464:186|1:169:336:207:393|2:209:340:404:407|3:408:332:448:395|4:172:410:449:480|5:174:482:452:551,FB-I004|FB-I005,,,,mapped,
