image_id,part,local_page_idx,input_pdf_page,source_page_id,json_block_index,json_bbox,mineru_url,local_image,local_relative_from_chapters,source_docx_entry,docx_relationship_id,document_order,bytes,sha256,mapping_status
FB-I050,part_201_243,3,204,FB-P204,1,163:329:201:387,https://cdn-mineru.openxlab.org.cn/result/2026-08-20/4f57b214-c2da-446d-a55e-cf99693f7a36/0b06d4e02fc785323d79068c3dd7568e4985c7e81bd32599778a4e41545e35a8.jpg,source/raw/full_book/part_201_243/images/image_001.jpg,../raw/full_book/part_201_243/images/image_001.jpg,word/media/rId11.jpg,rId11,1,6102,de3389401490ab03422db0580bcbed988fcf304ee4efeb711be01280ebaa3320,verified one-to-one
FB-I051,part_201_243,3,204,FB-P204,3,402:328:441:390,https://cdn-mineru.openxlab.org.cn/result/2026-08-20/4f57b214-c2da-446d-a55e-cf99693f7a36/7bb088b733f42adfb91c4434efebe0f17baa43172993e2ebd41c7952a07d65cd.jpg,source/raw/full_book/part_201_243/images/image_002.jpg,../raw/full_book/part_201_243/images/image_002.jpg,word/media/rId14.jpg,rId14,2,6133,98e86ce1ce0a2e53ffb9b670375473e392014190464a1700aefaefacd8faf522,verified one-to-one
FB-I052,part_201_243,9,210,FB-P210,1,191:325:230:385,https://cdn-mineru.openxlab.org.cn/result/2026-08-20/4f57b214-c2da-446d-a55e-cf99693f7a36/ca39f9ca3176f20ed2a6d14fba9babec4e795b785d71728616792aa85544b1e5.jpg,source/raw/full_book/part_201_243/images/image_003.jpg,../raw/full_book/part_201_243/images/image_003.jpg,word/media/rId21.jpg,rId21,3,5946,1c01c7975da53c88a298fada70d8bec3289d3ab1a1d9a3e33445baa6d378a75f,verified one-to-one
FB-I053,part_201_243,9,210,FB-P210,3,377:324:418:387,https://cdn-mineru.openxlab.org.cn/result/2026-08-20/4f57b214-c2da-446d-a55e-cf99693f7a36/36331ad22f260233d67990c75ee3e401c360027432373f78a051d06ef8cf2387.jpg,source/raw/full_book/part_201_243/images/image_004.jpg,../raw/full_book/part_201_243/images/image_004.jpg,word/media/rId24.jpg,rId24,4,6166,6668c7a0fcc2953797046143206f42b6f1202fe81dcac7454ce20fbbda015587,verified one-to-one
FB-I054,part_201_243,21,222,FB-P222,1,174:318:213:377,https://cdn-mineru.openxlab.org.cn/result/2026-08-20/4f57b214-c2da-446d-a55e-cf99693f7a36/0a5d937dbc909a20bd8c86ca5024e2520e431522c03b329c9cebc8e4d38c521b.jpg,source/raw/full_book/part_201_243/images/image_005.jpg,../raw/full_book/part_201_243/images/image_005.jpg,word/media/rId33.jpg,rId33,5,6000,a7d64f056850613b2b65350496db7af492bf7e9fcd8751f35e66a0b9a4abe200,verified one-to-one
FB-I055,part_201_243,21,222,FB-P222,3,413:319:456:381,https://cdn-mineru.openxlab.org.cn/result/2026-08-20/4f57b214-c2da-446d-a55e-cf99693f7a36/ac0ac9d622f02645fd88b12e058bc1884c6a00a5832fdab19556f2e007bca249.jpg,source/raw/full_book/part_201_243/images/image_006.jpg,../raw/full_book/part_201_243/images/image_006.jpg,word/media/rId36.jpg,rId36,6,6309,e735964400cf6be42b67e55da61e1d07492b50b70d93af696d062cb7bff2fd93,verified one-to-one
FB-I056,part_201_243,27,228,FB-P228,1,167:332:204:390,https://cdn-mineru.openxlab.org.cn/result/2026-08-20/4f57b214-c2da-446d-a55e-cf99693f7a36/8e3e7fba93b3df27985f9fefdf46d3cd1bbff37e860995acb53197b8d506ad4a.jpg,source/raw/full_book/part_201_243/images/image_007.jpg,../raw/full_book/part_201_243/images/image_007.jpg,word/media/rId42.jpg,rId42,7,5907,551ff0822b7aed448f1124b2af9023d6d728ba7b298d0f2732cdec6f8d750c94,verified one-to-one
FB-I057,part_201_243,27,228,FB-P228,3,406:333:445:396,https://cdn-mineru.openxlab.org.cn/result/2026-08-20/4f57b214-c2da-446d-a55e-cf99693f7a36/34f41e035160fd7457fa7182ee5234227b1e39a292e1e2563eacac6b6a2142e1.jpg,source/raw/full_book/part_201_243/images/image_008.jpg,../raw/full_book/part_201_243/images/image_008.jpg,word/media/rId45.jpg,rId45,8,6071,520a79152494c15a51cec5a4a8471132e308d267efa328c8886cf401193fd00b,verified one-to-one
FB-I058,part_201_243,37,238,FB-P238,1,168:330:205:388,https://cdn-mineru.openxlab.org.cn/result/2026-08-20/4f57b214-c2da-446d-a55e-cf99693f7a36/26668ef3021254c6bdd095e446497517ec464a0033f919abab1fb3c9a2aded3e.jpg,source/raw/full_book/part_201_243/images/image_009.jpg,../raw/full_book/part_201_243/images/image_009.jpg,word/media/rId53.jpg,rId53,9,5939,7ae66f87c72dd5ff0f552bd08a9cef503398dfe5ba294fc62751ba44d765fbfa,verified one-to-one
FB-I059,part_201_243,37,238,FB-P238,3,408:330:447:392,https://cdn-mineru.openxlab.org.cn/result/2026-08-20/4f57b214-c2da-446d-a55e-cf99693f7a36/9484b2c6252bb3819431b26c2404351ecbb43eab41ab515b9f08fb498ea8dda7.jpg,source/raw/full_book/part_201_243/images/image_010.jpg,../raw/full_book/part_201_243/images/image_010.jpg,word/media/rId56.jpg,rId56,10,6123,4496651c56305697ae476133f3bb7688463aafffdfdd30a3417bb6a568e27cc4,verified one-to-one
